Cell_ID,hProgFPM,hProgFPM.1,hProgFPM.2,hProgFPM.3,hProgFPM.4,hProgFPM.5,hProgFPM.6,hProgFPM.7,hProgFPM.8,hProgFPM.9,hProgFPM.10,hProgFPM.11,hProgFPM.12,hProgFPM.13,hProgFPM.14,hProgFPM.15,hProgFPM.16,hProgFPM.17,hProgFPM.18,hProgFPM.19,hProgFPM.20,hProgFPM.21,hProgFPM.22,hProgFPM.23,hProgFPM.24,hProgFPM.25,hProgFPM.26,hProgFPM.27,hProgFPM.28,hProgFPM.29,hProgFPM.30,hProgFPM.31,hProgFPM.32,hProgFPM.33,hProgFPM.34,hProgFPM.35,hProgFPM.36,hProgFPM.37,hProgFPM.38,hProgFPM.39,hProgFPM.40,hProgFPM.41,hProgFPM.42,hProgFPM.43,hProgFPM.44,hProgFPM.45,hProgFPM.46,hProgFPM.47,hProgFPM.48,hProgFPM.49,hProgFPM.50,hProgFPM.51,hProgFPM.52,hProgFPM.53,hProgFPM.54,hProgFPM.55,hProgFPM.56,hProgFPM.57,hProgFPM.58,hProgFPM.59,hProgFPM.60,hProgFPM.61,hProgFPM.62,hProgFPM.63,hProgFPM.64,hProgFPM.65,hProgFPM.66,hProgFPM.67,hProgFPM.68,hProgFPM.69,hProgFPM.70,hProgFPM.71,hProgFPM.72,hProgFPM.73,hProgFPM.74,hProgFPM.75,hProgFPM.76,hProgFPM.77,hProgFPM.78,hProgFPM.79,hProgFPM.80,hProgFPM.81
ZNF451,0,0,0,0,0,0,0,2,4,1,0,1,0,1,1,0,0,2,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2,4,0,0,2,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
BAG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
RAB23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIM2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
GUSBP4_p1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
GUSBP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MTRNR2L9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KHDRBS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
PTP4A1,0,0,0,1,0,0,0,0,1,1,0,2,1,1,0,0,3,0,0,0,0,1,3,2,0,0,3,0,4,0,0,0,0,1,2,2,2,0,2,1,4,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,2,1,0,3,0,0,0,0,2,1,1,4,0,3,0,3,1,3,1,3,0,1
PHF3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,2,0
EYS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC441155,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
LOC101928307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
BAI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LMBRD1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
COL19A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
